_symbol,_timestamp,_open,_high,_low,_close,_volume,_trade_count,_vwap
GOOG,2023-06-30 04:00:00+00:00,121.1,122.03,120.89,120.97,23293101.0,216877.0,121.303158
GOOG,2023-07-03 04:00:00+00:00,120.305,121.02,119.705,120.56,13842893.0,150007.0,120.373816
GOOG,2023-07-05 04:00:00+00:00,120.06,123.37,120.06,122.63,17835419.0,205317.0,122.444338
GOOG,2023-07-06 04:00:00+00:00,120.64,121.1499,119.2499,120.93,17755400.0,193105.0,120.441729
GOOG,2023-07-07 04:00:00+00:00,120.89,121.75,120.09,120.14,20997666.0,202569.0,120.886289
GOOG,2023-07-10 04:00:00+00:00,119.07,119.07,116.64,116.87,32962048.0,332038.0,117.332231
GOOG,2023-07-11 04:00:00+00:00,116.76,118.225,115.83,117.71,18288049.0,196688.0,117.430069
GOOG,2023-07-12 04:00:00+00:00,119.3,120.96,119.0,119.62,22063039.0,215449.0,119.810735
GOOG,2023-07-13 04:00:00+00:00,121.54,125.335,121.06,124.83,31549966.0,300760.0,124.307639
GOOG,2023-07-14 04:00:00+00:00,125.13,127.09,124.9,125.7,20900355.0,223961.0,125.777616
GOOG,2023-07-17 04:00:00+00:00,126.06,127.28,124.5,125.06,20678623.0,208624.0,125.323866
GOOG,2023-07-18 04:00:00+00:00,124.905,124.99,123.3,124.08,21075919.0,200400.0,123.998075
GOOG,2023-07-19 04:00:00+00:00,124.79,125.47,122.47,122.78,22335569.0,248999.0,123.562315
GOOG,2023-07-20 04:00:00+00:00,122.12,124.7,118.685,119.53,27560260.0,295702.0,120.83364
GOOG,2023-07-21 04:00:00+00:00,120.87,121.3,119.07,120.31,57666224.0,265117.0,120.241867
GOOG,2023-07-24 04:00:00+00:00,121.926,123.35,121.38,121.88,22318617.0,232871.0,122.135735
GOOG,2023-07-25 04:00:00+00:00,121.88,123.69,121.53,122.79,31913258.0,344964.0,124.080789
GOOG,2023-07-26 04:00:00+00:00,130.36,131.37,128.71,129.66,46223561.0,468593.0,129.993647
GOOG,2023-07-27 04:00:00+00:00,131.8,133.6,129.18,129.87,35937117.0,351415.0,131.558148
GOOG,2023-07-28 04:00:00+00:00,130.97,134.07,130.92,133.01,26971013.0,259819.0,133.014016
GOOG,2023-07-31 04:00:00+00:00,133.01,133.83,132.13,133.11,18382999.0,197892.0,132.915339
GOOG,2023-08-01 04:00:00+00:00,130.855,132.92,130.75,131.89,22246712.0,238481.0,131.877338
GOOG,2023-08-02 04:00:00+00:00,129.84,130.42,127.85,128.64,22710367.0,242042.0,128.944369
GOOG,2023-08-03 04:00:00+00:00,128.37,129.77,127.775,128.77,15115498.0,174654.0,128.856698
GOOG,2023-08-04 04:00:00+00:00,129.6,131.93,128.315,128.54,20521853.0,245419.0,129.794863
GOOG,2023-08-07 04:00:00+00:00,129.51,132.06,129.43,131.94,17623673.0,202206.0,131.117253
GOOG,2023-08-08 04:00:00+00:00,130.98,131.94,130.13,131.84,16837094.0,186263.0,131.372509
GOOG,2023-08-09 04:00:00+00:00,132.19,132.47,129.505,130.15,17754865.0,186619.0,130.851781
GOOG,2023-08-10 04:00:00+00:00,131.97,132.647,130.035,130.21,17859073.0,204122.0,131.063337
GOOG,2023-08-11 04:00:00+00:00,129.202,130.44,128.75,130.17,15205465.0,183702.0,129.75606
GOOG,2023-08-14 04:00:00+00:00,129.85,131.91,129.59,131.83,17531083.0,168322.0,131.343962
GOOG,2023-08-15 04:00:00+00:00,131.59,131.99,129.819,130.27,14769798.0,175631.0,130.751094
GOOG,2023-08-16 04:00:00+00:00,129.28,130.8975,128.46,129.11,17549676.0,211052.0,129.404003
GOOG,2023-08-17 04:00:00+00:00,130.45,132.4913,129.85,130.46,23667972.0,257999.0,130.930059
GOOG,2023-08-18 04:00:00+00:00,129.06,129.83,127.0,128.11,23627202.0,259952.0,128.074864
GOOG,2023-08-21 04:00:00+00:00,127.85,129.26,127.16,128.93,21853699.0,200511.0,128.536352
GOOG,2023-08-22 04:00:00+00:00,129.13,130.95,128.925,129.69,15571036.0,172872.0,129.868147
GOOG,2023-08-23 04:00:00+00:00,130.85,134.07,130.51,133.21,26511050.0,260109.0,133.208939
GOOG,2023-08-24 04:00:00+00:00,134.7272,134.97,130.3,130.42,18683754.0,206787.0,131.882268
GOOG,2023-08-25 04:00:00+00:00,130.14,131.4,128.04,130.69,20678096.0,232375.0,129.913147
GOOG,2023-08-28 04:00:00+00:00,132.08,133.24,130.85,131.79,16716997.0,202011.0,131.764981
GOOG,2023-08-29 04:00:00+00:00,132.9981,137.295,132.98,135.49,30812828.0,306409.0,135.29688
GOOG,2023-08-30 04:00:00+00:00,135.57,137.25,135.021,136.93,21775133.0,218686.0,136.457004
GOOG,2023-08-31 04:00:00+00:00,137.05,138.4,136.82,137.35,28153443.0,274619.0,137.72191
GOOG,2023-09-01 04:00:00+00:00,138.43,138.58,135.94,136.8,16671648.0,207753.0,136.812831
GOOG,2023-09-05 04:00:00+00:00,136.44,137.37,135.56,136.71,17735376.0,216691.0,136.50124
GOOG,2023-09-06 04:00:00+00:00,137.015,137.48,134.69,135.37,15818083.0,195709.0,135.679897
GOOG,2023-09-07 04:00:00+00:00,134.6,136.58,133.9601,136.2,16977809.0,207198.0,135.763768
GOOG,2023-09-08 04:00:00+00:00,135.87,137.515,135.87,137.2,17820006.0,207467.0,136.962714
GOOG,2023-09-11 04:00:00+00:00,137.38,138.2638,136.55,137.74,17182894.0,188883.0,137.517412
GOOG,2023-09-12 04:00:00+00:00,137.13,137.64,135.93,136.07,15216222.0,192885.0,136.544664
GOOG,2023-09-13 04:00:00+00:00,135.9,137.7,134.93,137.5,16395995.0,210294.0,136.679131
GOOG,2023-09-14 04:00:00+00:00,138.39,139.55,137.06,138.99,19067548.0,206574.0,138.723107
GOOG,2023-09-15 04:00:00+00:00,138.8,139.36,137.18,138.3,48958837.0,266140.0,138.244356
GOOG,2023-09-18 04:00:00+00:00,137.63,139.93,137.63,138.96,16235324.0,195851.0,139.132572
GOOG,2023-09-19 04:00:00+00:00,138.25,139.175,137.5,138.83,15486727.0,173026.0,138.503728
GOOG,2023-09-20 04:00:00+00:00,138.83,138.84,134.52,134.59,21486640.0,230737.0,136.17586
GOOG,2023-09-21 04:00:00+00:00,132.39,133.19,131.09,131.36,22062623.0,262099.0,131.942448
GOOG,2023-09-22 04:00:00+00:00,131.68,133.01,130.51,131.25,17355286.0,193336.0,131.823677
GOOG,2023-09-25 04:00:00+00:00,130.77,132.22,130.03,132.17,14656835.0,177896.0,131.591669
GOOG,2023-09-26 04:00:00+00:00,130.914,131.405,128.19,129.45,20381254.0,232810.0,129.231714
GOOG,2023-09-27 04:00:00+00:00,129.44,131.72,129.38,131.46,18768815.0,206006.0,130.695098
GOOG,2023-09-28 04:00:00+00:00,130.69,134.1799,130.69,133.13,18203732.0,213630.0,132.737802
GOOG,2023-09-29 04:00:00+00:00,134.08,134.89,131.32,131.85,23237337.0,231543.0,132.58011
GOOG,2023-10-02 04:00:00+00:00,132.155,135.36,132.065,135.17,19214406.0,231657.0,134.32138
GOOG,2023-10-03 04:00:00+00:00,134.93,135.24,132.815,133.3,19637567.0,226827.0,133.583545
GOOG,2023-10-04 04:00:00+00:00,133.66,136.57,133.43,136.27,22851575.0,259203.0,135.504706
GOOG,2023-10-05 04:00:00+00:00,136.13,136.5,134.455,135.99,15926676.0,184597.0,135.752753
GOOG,2023-10-06 04:00:00+00:00,134.94,139.1857,134.94,138.73,20826684.0,233147.0,137.954761
GOOG,2023-10-09 04:00:00+00:00,137.99,139.97,136.7,139.5,16603468.0,174778.0,138.858185
GOOG,2023-10-10 04:00:00+00:00,139.51,140.74,138.43,139.2,19556225.0,217137.0,139.635079
GOOG,2023-10-11 04:00:00+00:00,139.85,142.22,139.84,141.7,20149439.0,207189.0,141.366683
GOOG,2023-10-12 04:00:00+00:00,142.16,142.38,139.45,140.29,18177783.0,203000.0,140.977775
GOOG,2023-10-13 04:00:00+00:00,140.65,141.34,137.97,138.58,19447567.0,215718.0,139.080889
GOOG,2023-10-16 04:00:00+00:00,139.73,140.905,139.32,140.49,17346743.0,193306.0,140.297479
GOOG,2023-10-17 04:00:00+00:00,140.03,141.25,138.5287,140.99,17425248.0,198807.0,140.429805
GOOG,2023-10-18 04:00:00+00:00,140.75,141.99,138.705,139.28,18312327.0,218050.0,140.315066
GOOG,2023-10-19 04:00:00+00:00,139.8,141.005,138.6,138.98,21837181.0,269031.0,139.678247
GOOG,2023-10-20 04:00:00+00:00,138.59,139.04,136.245,136.74,24970264.0,247091.0,137.299802
GOOG,2023-10-23 04:00:00+00:00,136.23,139.02,135.11,137.9,20785163.0,230365.0,137.764083
GOOG,2023-10-24 04:00:00+00:00,139.16,140.7099,138.75,140.12,26568664.0,305619.0,139.008008
GOOG,2023-10-25 04:00:00+00:00,129.77,130.1,126.09,126.67,58857667.0,718652.0,127.53101
GOOG,2023-10-26 04:00:00+00:00,124.47,125.46,122.32,123.44,33947378.0,377603.0,123.660807
